,t,p,H2O,CO,CH4,CO2,N2O,O2,O3,z
19,215.42708693155316,10970.109625145215,2.203277134273602e-06,3.547722869859614e-08,1.4085526813772273e-06,0.0004200801469216434,2.6748812765651624e-07,0.2091503612261705,9.915743987182988e-07,15416.584036596534
20,216.9290588683591,9765.811346572242,2.1305237204789957e-06,2.95825645579805e-08,1.384354990809945e-06,0.000420045870107499,2.57555594348202e-07,0.20913879346141748,1.1595376662957542e-06,16152.409881083024
21,215.39480741857926,8693.720893931059,2.4371705600296937e-06,2.526281496415253e-08,1.3587608026066502e-06,0.000420138161337781,2.43414907445675e-07,0.20912929076064873,1.382138431803395e-06,16888.18084126109
22,214.0352992435053,7739.324496382163,2.335974079607706e-06,2.1349137806431275e-08,1.3344478421418604e-06,0.0004201746382217504,2.2544974962135056e-07,0.2091497724522353,1.6727876364189568e-06,17619.026964759672
23,211.1180121854932,6889.701704377721,2.3161893891064995e-06,1.793692059553887e-08,1.3063987902409215e-06,0.000420172117065636,2.037589003463911e-07,0.20914498655879127,2.009221144319964e-06,18342.594393517134
24,215.2,6133.350474901878,4.5029647722598185e-06,1.5171321590478593e-08,1.2731563867622423e-06,0.0004201738462352558,1.8107628056282566e-07,0.2091365319803402,2.392080205455233e-06,19068.144506189634
25,215.2,5460.031458847719,4.503810130770416e-06,1.3554800006926138e-08,1.2310459445401122e-06,0.0004202935095861853,1.645875553851522e-07,0.2091972224814965,2.8387860650308845e-06,19800.642231353282
26,215.2,4860.6293825209195,4.5045422537108534e-06,1.2703040809585818e-08,1.1814324646066186e-06,0.0004203244849867538,1.460323403184748e-07,0.20921554478191307,3.2791989327227764e-06,20533.139956868108
27,215.2,4327.029646677473,4.515232940674642e-06,1.2332958651450242e-08,1.1236274259078103e-06,0.0004202945454961325,1.3160315099136385e-07,0.20921526479949437,3.647236866866991e-06,21265.637684925812
28,215.2,3852.008472514966,4.535568070944154e-06,1.2403949054260563e-08,1.058118714492785e-06,0.00042022166702839576,1.2210364254759732e-07,0.20919886685559816,3.940947242057578e-06,21998.13541989028
29,215.2,3429.1351074334507,4.550487060767837e-06,1.2952818800576216e-08,9.896255325801226e-07,0.00042018494968791185,1.1430156069159808e-07,0.20915502871582442,4.236866493783657e-06,22730.633162702805
30,215.2,3052.684766644665,4.582575155342547e-06,1.3620765531273912e-08,9.19943698511412e-07,0.0004202119693628822,1.0812530619133792e-07,0.20913715728249374,4.535949275835873e-06,23463.130915979767
31,215.2,2717.5611320485855,4.619329238094466e-06,1.4328583975299631e-08,8.527074179057868e-07,0.00042022992884236434,1.022744841609761e-07,0.20915552430868253,4.8326148322430024e-06,24195.628684581938
32,215.20651580684466,2419.227359180784,4.654052521595302e-06,1.5012044749603297e-08,7.919751604910032e-07,0.0004202140784289363,9.646526446165716e-08,0.20920509466669543,5.114379695245742e-06,24928.137558348124
33,215.29513765716274,2153.6446582148865,4.668993574746593e-06,1.530806831622075e-08,7.682734238671354e-07,0.00042021802516100976,9.360243897929056e-08,0.20918734075601506,5.26215101793394e-06,25660.808357957594
34,215.38375950748082,1917.2176175405568,4.683934627897884e-06,1.5604091882838206e-08,7.445716872432679e-07,0.00042022197189308324,9.073961349692396e-08,0.20916958684533468,5.409922340622138e-06,26393.780815292306
35,215.4723813577989,1706.745529717341,4.6988756810491756e-06,1.590011544945566e-08,7.208699506194001e-07,0.0004202259186251567,8.787678801455736e-08,0.20915183293465428,5.557693663310336e-06,27127.05493035773
36,215.88602205396748,1519.3790608637082,4.713775806295284e-06,1.6220407449143736e-08,6.994490806212074e-07,0.00042020675170170713,8.461297395839479e-08,0.20915081036294636,5.705797431390369e-06,27861.183852768416
37,216.44681204751313,1352.5816768791556,4.728657401808217e-06,1.655168675901513e-08,6.790608520395472e-07,0.00042017712028300294,8.116761600825919e-08,0.20915736275129201,5.854051711068267e-06,28596.971165556337
38,217.00760204105882,1204.0953042944013,4.74353899732115e-06,1.6882966068886528e-08,6.586726234578869e-07,0.00042014748886429876,7.772225805812361e-08,0.20916391513963764,6.002305990746165e-06,29334.667302158956
39,217.67274542369236,1071.9097608723262,4.758327745747438e-06,1.7241796635327658e-08,6.380782879540321e-07,0.00042013231935729943,7.403797252326963e-08,0.2091668362529155,6.169371850842271e-06,30074.449861641875
40,218.5810597911226,954.2355421165569,4.772900135915577e-06,1.7664828913385503e-08,6.170036688323525e-07,0.0004201508499279119,6.979692255001184e-08,0.20916129553527416,6.380273666587354e-06,30816.91029577203
41,219.48937415855283,849.4795952762439,4.7874725260837165e-06,1.8087861191443344e-08,5.959290497106728e-07,0.00042016938049852437,6.555587257675406e-08,0.20915575481763282,6.591175482332437e-06,31562.462457295453
42,220.39768852598309,756.2237528798191,4.802044916251855e-06,1.851089346950119e-08,5.748544305889932e-07,0.0004201879110691369,6.131482260349626e-08,0.20915021409999152,6.80207729807752e-06,32311.106346266897
43,222.70100007569772,673.2055338347106,4.8175036093073365e-06,1.8962110042808595e-08,5.534534405377199e-07,0.0004201578601634718,5.819924457785954e-08,0.209130472759351,6.894203313813083e-06,33065.21610898895
