z,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t
27500.0,1.100788e-10,6.96099e-07,1.65027e-08,0.0003552642,8.486868e-11,7.216408e-11,4.954128e-06,0.0,1.050866e-10,7.516608e-10,2.302086e-10,3.001999e-12,4.823102e-09,1.841005e-10,0.7816808,7.332508e-08,9.377516e-15,1.281074e-09,4.81315e-09,0.2091448,5.304085e-06,5.003885e-12,1.541137e-11,1923.0,231.0
30000.0,4.723694e-11,6.446026e-07,1.809296e-08,0.0003553671,1.851204e-10,8.735201e-11,5.002271e-06,0.0,9.735655e-11,9.885844e-10,2.831794e-10,3.001363e-12,3.742619e-09,2.451476e-10,0.7814686,5.944587e-08,6.353974e-15,2.451476e-09,6.165026e-09,0.2091506,5.704769e-06,1.170749e-11,1.341045e-11,1340.0,235.1
32500.0,1.791502e-11,5.89412e-07,1.998431e-08,0.0003553393,3.574544e-10,1.010672e-10,5.005772e-06,0.0,9.045641e-11,1.281055e-09,3.202636e-10,3.002406e-12,2.592073e-09,2.962218e-10,0.781535,4.156201e-08,3.683825e-15,4.533396e-09,7.216067e-09,0.2091849,6.90585e-06,3.402867e-11,1.210903e-11,940.0,240.0
35000.0,7.35286e-12,5.246142e-07,2.184688e-08,0.0003552506,5.083491e-10,1.110674e-10,5.003456e-06,0.0,8.468182e-11,1.571261e-09,3.482282e-10,3.002074e-12,1.640968e-09,3.212229e-10,0.7817578,3.034088e-08,1.821175e-15,7.146319e-09,7.285735e-09,0.2091228,7.70398e-06,8.354584e-11,1.160761e-11,661.0,247.2
37500.0,3.032658e-12,4.51026e-07,2.345246e-08,0.0003553245,6.075743e-10,1.131289e-10,5.00478e-06,0.0,8.028501e-11,1.691348e-09,3.723795e-10,3.002868e-12,9.689314e-10,3.043085e-10,0.7819969,1.950524e-08,9.272249e-16,9.346725e-09,6.265657e-09,0.2092028,7.805074e-06,1.701774e-10,1.210978e-11,472.0,254.6
40000.0,1.320867e-12,3.710349e-07,2.498047e-08,0.0003552825,5.954015e-10,1.030724e-10,5.003544e-06,0.0,7.635699e-11,1.741288e-09,3.953023e-10,3.002552e-12,5.333494e-10,2.482081e-10,0.7815575,1.2751e-08,2.941883e-16,1.120768e-08,4.03285e-09,0.2091462,7.004535e-06,2.852477e-10,1.361313e-11,340.0,262.1
42500.0,8.696306e-13,2.994794e-07,2.649702e-08,0.0003552942,4.333149e-10,7.956609e-11,5.003827e-06,0.0,7.305437e-11,1.761467e-09,4.103588e-10,3.002296e-12,2.522169e-10,1.641435e-10,0.7815572,9.008388e-09,8.726314e-17,1.190866e-08,2.171076e-09,0.2091555,5.404433e-06,4.063077e-10,1.651938e-11,248.0,269.5
45000.0,6.683438e-13,2.447134e-07,2.810365e-08,0.0003551355,2.511478e-10,4.823698e-11,5.0022e-06,0.0,7.005156e-11,1.791244e-09,4.213472e-10,3.00132e-12,1.210699e-10,9.747026e-11,0.7814641,6.289073e-09,2.98264e-17,1.170847e-08,1.150714e-09,0.2092207,4.203094e-06,5.114283e-10,2.100509e-11,182.0,273.6
47500.0,5.603559e-13,2.00123e-07,2.999569e-08,0.0003551671,1.560971e-10,1.63098e-11,5.003076e-06,0.0,6.704918e-11,1.801164e-09,4.243223e-10,3.002415e-12,7.703826e-11,4.923391e-11,0.7814816,4.561963e-09,1.300857e-17,1.10079e-08,6.665076e-10,0.209116,3.201627e-06,5.794233e-10,2.771613e-11,134.0,276.2
50000.0,4.944081e-13,1.661211e-07,3.222765e-08,0.0003553146,1.040778e-10,5.103067e-12,4.955714e-06,7.146621e-12,6.437e-11,1.801584e-09,4.253849e-10,3.002511e-12,5.552882e-11,2.532145e-11,0.7817465,2.79738e-09,7.134988e-18,1.030695e-08,4.432223e-10,0.2091637,2.502287e-06,6.754972e-10,3.562841e-11,98.7,277.2
55000.0,4.565103e-13,1.501975e-07,3.654196e-08,0.0003554158,7.700089e-11,2.002164e-12,4.855354e-06,7.157631e-12,6.216431e-11,1.802089e-09,4.254423e-10,3.003246e-12,4.454498e-11,1.501975e-11,0.7819853,1.766864e-09,4.805335e-18,1.010945e-08,3.393534e-10,0.2092339,1.702051e-06,9.538811e-10,4.594692e-11,53.7,274.0
60000.0,4.323552e-13,1.501216e-07,4.591806e-08,0.0003552794,6.304603e-11,1.050725e-12,4.503648e-06,7.154704e-12,6.023755e-11,1.800955e-09,4.253025e-10,3.002432e-12,3.842458e-11,1.050725e-11,0.7815894,1.214826e-09,3.662362e-18,1.010676e-08,2.852562e-10,0.2091879,1.200847e-06,1.760654e-09,5.153503e-11,28.8,262.7
65000.0,4.17407e-13,1.501224e-07,6.380429e-08,0.0003552688,5.524902e-11,6.864477e-13,4.002965e-06,7.154906e-12,5.885124e-11,1.801334e-09,4.252869e-10,3.003349e-12,3.4919e-11,8.345889e-12,0.7816813,8.872714e-10,3.001098e-18,1.030685e-08,2.53281e-10,0.2091538,8.00593e-07,3.741804e-09,5.112898e-11,14.7,239.7
70000.0,4.053311e-13,1.501195e-07,1.176863e-07,0.0003552913,5.046105e-11,5.142983e-13,3.302713e-06,7.15637e-12,5.753739e-11,1.801518e-09,4.254228e-10,3.00239e-12,3.272807e-11,7.114249e-12,0.7817671,6.760432e-10,2.571913e-18,1.150748e-08,2.312026e-10,0.2091732,4.003187e-07,7.194279e-09,4.321622e-11,7.1,216.6
75000.0,3.962775e-13,1.501076e-07,3.035566e-07,0.0003552631,4.723754e-11,4.163252e-13,2.702272e-06,7.155381e-12,5.624233e-11,1.800957e-09,4.253467e-10,3.002153e-12,3.122439e-11,6.334258e-12,0.7815287,5.542371e-10,2.271245e-18,1.611339e-08,2.151793e-10,0.209165,2.001435e-07,1.121004e-08,2.831747e-11,3.2,193.6
80000.0,3.893128e-13,1.501285e-07,7.901203e-07,0.0003531327,4.494245e-11,3.533211e-13,2.001211e-06,7.154988e-12,5.504272e-11,1.801467e-09,4.253044e-10,3.001816e-12,3.013123e-11,5.785045e-12,0.7816406,4.652533e-10,2.040783e-18,2.681472e-08,2.021939e-10,0.2091661,1.801467e-07,1.130816e-08,1.331126e-11,1.25,170.6
85000.0,3.833524e-13,1.50143e-07,1.824686e-06,0.0003445914,4.304299e-11,3.092957e-13,1.33114e-06,7.158155e-12,5.376042e-11,1.801915e-09,4.2543e-10,3.002861e-12,2.922666e-11,5.376042e-12,0.7816547,3.983023e-10,1.851913e-18,7.014596e-08,1.921712e-10,0.2001907,6.504713e-07,6.103738e-09,5.564154e-12,0.451,161.7
90000.0,3.783358e-13,1.40109e-07,3.405022e-06,0.0003337116,4.16308e-11,2.76199e-13,8.506319e-07,7.15512e-12,5.25374e-11,1.801599e-09,4.25316e-10,3.001741e-12,2.842369e-11,5.054178e-12,0.7805082,3.461842e-10,1.711519e-18,2.13143e-07,1.830702e-10,0.190138,9.00661e-07,1.510572e-09,2.242298e-12,0.161,161.6
95000.0,3.707637e-13,1.29217e-07,5.882597e-06,0.0002887275,4.005768e-11,2.485097e-13,5.366369e-07,7.107137e-12,5.090247e-11,1.78919e-09,4.225865e-10,2.982116e-12,2.76362e-11,4.750097e-12,0.7743418,3.028937e-10,1.580698e-18,7.079125e-07,1.749572e-10,0.178919,7.95151e-07,2.405462e-10,8.907932e-13,0.061,176.8
