z,C2H2,C2H6,CH3Cl,CH4,CO,CO2,COF2,ClO,H2CO,H2O,H2O2,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,PH3,SF6,SO2,p,t
20.0,3.102954e-11,6.014463e-09,3.693334e-08,0.0001225025,1.3323669999999999e-06,0.03303251,1.000935e-18,4.644471e-10,3.433279e-09,0.0004503931,3.683374e-10,0.0,1.371098e-08,4.8945669999999994e-08,5.77654e-09,3.0028050000000003e-10,4.2040379999999995e-07,3.073075e-09,78.18248,1.6223e-05,2.412425e-12,2.5524120000000003e-08,1.391571e-07,20.92059,0.0002902656,2.1617759999999998e-11,1.000935e-18,1.000935e-18,3.1931429999999997e-09,5370.0,215.2
21.0,1.89175e-11,4.574972e-09,3.433175e-08,0.00011554199999999999,1.2332700000000001e-06,0.03303425,1.001018e-18,8.161251e-10,3.6835920000000003e-09,0.00045049069999999997,5.625944e-10,0.0,1.341611e-08,5.225017e-08,7.77849e-09,3.003055e-10,4.944758000000001e-07,4.294064e-09,78.17415,1.363669e-05,1.9222410000000003e-12,2.7727489999999998e-08,1.762e-07,20.92213,0.0003503889,3.403333e-11,1.001018e-18,1.001018e-18,2.672842e-09,4580.0,215.2
22.0,1.041083e-11,3.4028979999999997e-09,3.1726440000000004e-08,0.000106692,1.233342e-06,0.033025889999999995,1.0008079999999999e-18,1.07072e-09,4.033627e-09,0.0004533651,1.031204e-09,0.0,1.3009739999999999e-08,5.494183e-08,9.909287e-09,3.002423e-10,5.464545999999999e-07,5.764713e-09,78.19521999999999,1.231062e-05,1.721207e-12,3.072335e-08,2.161957e-07,20.92045,0.00039029219999999994,5.094468e-11,1.0008079999999999e-18,1.0008079999999999e-18,2.282024e-09,3910.0,215.2
23.0,5.754827e-12,2.602082e-09,2.862735e-08,9.741128e-05,1.307713e-06,0.03302198,1.000801e-18,1.5212170000000001e-09,4.504048e-09,0.0004553866,1.971355e-09,0.0,1.250779e-08,5.754827e-08,1.231207e-08,3.002402e-10,5.745041e-07,7.655904e-09,78.16032,1.125345e-05,1.591496e-12,3.6028829999999997e-08,2.582511e-07,20.91451,0.00043038880000000003,7.596301000000001e-11,1.000801e-18,1.000801e-18,2.07188e-09,3340.0,215.2
24.0,2.231567e-12,1.8918450000000003e-09,2.481942e-08,8.806792e-05,1.401482e-06,0.03302677,1.000777e-18,2.241956e-09,5.06362e-09,0.0004603385,3.7026549999999998e-09,0.0,1.1905840000000001e-08,6.044345e-08,1.501217e-08,3.002434e-10,5.844876e-07,9.927769999999999e-09,78.15677,1.049293e-05,1.4409600000000002e-12,4.513e-08,3.06269e-07,20.91314,0.0004704159,1.160456e-10,1.000777e-18,1.000777e-18,1.901195e-09,2860.0,215.2
25.0,8.516818999999999e-13,1.221385e-09,1.911839e-08,7.937178e-05,1.499028e-06,0.0330249,1.000732e-18,3.9734600000000005e-09,5.824413000000001e-09,0.00046529540000000004,6.2043450000000005e-09,0.0,1.1307860000000001e-08,6.514866999999999e-08,1.821727e-08,3.00171e-10,5.613745e-07,1.3114979999999999e-08,78.15405,9.667575e-06,1.2311270000000001e-12,6.854614e-08,3.743309e-07,20.92064,0.0005103515,2.182176e-10,1.000732e-18,1.000732e-18,1.751099e-09,2440.0,215.2
27.5,4.0925419999999995e-13,5.744744e-10,1.100865e-08,7.134833999999999e-05,1.599237e-06,0.03302595,1.000721e-18,8.486964e-09,7.214371e-09,0.0004703532,1.0307280000000001e-08,0.0,1.050793e-08,7.516251e-08,2.301151e-08,3.0025230000000003e-10,4.822837e-07,1.842006e-08,78.16322,8.69846e-06,9.376333e-13,1.280908e-07,4.813799e-07,20.914630000000002,0.0005603746,5.003603e-10,1.000721e-18,1.000721e-18,1.54103e-09,1646.0,215.5
30.0,2.52219e-13,2.1417120000000002e-10,4.724206e-09,6.444065e-05,1.711477e-06,0.03301806,1.000818e-18,1.851553e-08,8.737211e-09,0.0004753952,1.3610149999999999e-08,0.0,9.737759e-09,9.889193e-08,2.831278e-08,3.001642e-10,3.742588e-07,2.451882e-08,78.15085,7.531146000000001e-06,6.354827e-13,2.4518819999999997e-07,6.165535e-07,20.91685,0.0006106042999999999,1.1709110000000002e-09,1.000818e-18,1.000818e-18,1.3410039999999998e-09,1110.0,217.4
32.5,1.8612600000000002e-13,8.49723e-11,1.7912209999999998e-09,5.7480080000000004e-05,1.851197e-06,0.033022869999999996,1.0006690000000001e-18,3.572379e-08,1.010732e-08,0.0004802082,1.3609249999999998e-08,0.0,9.044659e-09,1.280824e-07,3.202059e-08,3.002006e-10,2.591836e-07,2.9621559999999998e-08,78.16968,6.130403e-06,3.6822670000000005e-13,4.5323919999999996e-07,7.213186e-07,20.915020000000002,0.0006802614,3.402112e-09,1.0006690000000001e-18,1.0006690000000001e-18,1.210785e-09,756.0,220.4
35.0,1.520459e-13,3.421792e-11,7.356276e-10,5.052201e-05,1.997918e-06,0.033015159999999995,1.000478e-18,5.082573e-08,1.1104270000000001e-08,0.00048523479999999997,1.1304730000000001e-08,0.0,8.461844e-09,1.570878e-07,3.48193e-08,3.001434e-10,1.640735e-07,3.211613e-08,78.11867,5.118413e-06,1.8211489999999997e-13,7.143667e-07,7.283382e-07,20.90859,0.0007101145,8.352502e-09,1.000478e-18,1.000478e-18,1.160846e-09,518.0,227.9
37.5,1.321393e-13,1.341264e-11,3.0320689999999997e-10,4.484427e-05,2.148732e-06,0.03302128,1.0007539999999998e-18,6.074976e-08,1.130816e-08,0.0004903516,8.516347000000001e-09,0.0,8.025906e-09,1.691708e-07,3.7230230000000004e-08,3.0022629999999996e-10,9.691421000000001e-08,3.042004e-08,78.15458,3.971404999999999e-06,9.266913e-14,9.348202e-07,6.26465e-07,20.918300000000002,0.0007205792999999999,1.701644e-08,1.0007539999999998e-18,1.0007539999999998e-18,1.211202e-09,360.0,235.5
40.0,1.180826e-13,5.393815e-12,1.32098e-10,3.933875e-05,2.33325e-06,0.03302119,1.000723e-18,5.953901e-08,1.030718e-08,0.0004953179,6.3746299999999995e-09,0.0,7.635487e-09,1.74131e-07,3.952456e-08,3.002168e-10,5.3340910000000005e-08,2.481898e-08,78.15989,2.9968589999999996e-06,2.942443e-14,1.120836e-06,4.0334170000000004e-07,20.91696,0.0006905517,2.8521919999999997e-08,1.000723e-18,1.000723e-18,1.360399e-09,253.0,243.2
42.5,1.0807769999999999e-13,2.250817e-12,8.697388e-11,3.397387e-05,2.6240299999999998e-06,0.03303122,1.000748e-18,4.332342e-08,7.956735e-09,0.000500374,5.1730320000000005e-09,0.0,7.304575e-09,1.761409e-07,4.103413e-08,3.003013e-10,2.522069e-08,1.6411729999999998e-08,78.16299,2.081525e-06,8.726245e-15,1.190817e-06,2.1719420000000002e-07,20.91144,0.0005904066,4.063014e-08,1.000748e-18,1.000748e-18,1.651176e-09,180.0,250.8
45.0,9.976905999999999e-14,1.0408519999999999e-12,6.684472000000001e-11,2.877422e-05,3.0600270000000005e-06,0.033035010000000004,1.000734e-18,2.5119339999999997e-08,4.822448e-09,0.0005002286999999999,4.443403e-09,0.0,7.005415e-09,1.791195e-07,4.213763e-08,3.001925e-10,1.211007e-08,9.747266e-09,78.16073,1.311994e-06,2.9825580000000005e-15,1.170889e-06,1.1509690000000001e-07,20.91664,0.0004603875,5.112957e-08,1.000734e-18,1.000734e-18,2.101624e-09,129.0,258.5
47.5,9.345282999999999e-14,6.572849e-13,5.603276e-11,2.3877200000000002e-05,3.805866e-06,0.03302389,1.000724e-18,1.5610520000000002e-08,1.631141e-09,0.0005003620000000001,3.802751e-09,0.0,6.705240000000001e-09,1.8013030000000002e-07,4.2443159999999996e-08,3.002172e-10,7.705964e-09,4.921849e-09,78.14993,8.075882e-07,1.300941e-15,1.100796e-06,6.666302e-08,20.91396,0.0003702679,5.794075e-08,1.000724e-18,1.000724e-18,2.772044e-09,94.0,265.1
50.0,8.835601e-14,4.743294e-13,4.943102e-11,1.945443e-05,6.246689e-06,0.03302205,1.000652e-18,1.040936e-08,5.103163999999999e-10,0.0004953307999999999,3.48214e-09,7.143677000000001e-10,6.4346809999999994e-09,1.800959e-07,4.252905e-08,3.001956e-10,5.553806e-09,2.53144e-09,78.15075,4.166966e-07,7.132935e-16,1.030731e-06,4.43284e-08,20.9154,0.0002751658,6.756952e-08,1.000652e-18,1.000652e-18,3.5621700000000003e-09,68.3,265.7
55.0,8.437654000000001e-14,3.7939129999999995e-13,4.5642250000000003e-11,1.575413e-05,1.480988e-05,0.03302901,1.000909e-18,7.69716e-09,2.001818e-10,0.0004854459,3.622953e-09,7.156450000000001e-10,6.215178e-09,1.802034e-07,4.254112e-08,3.0027269999999997e-10,4.4538960000000005e-09,1.5008669999999999e-09,78.17428,2.630989e-07,4.804761e-16,1.010849e-06,3.39335e-08,20.92268,0.0001701645,9.538951999999999e-08,1.000909e-18,1.000909e-18,4.5940440000000004e-09,36.2,260.6
60.0,8.106257e-14,3.2822879999999997e-13,4.3229690000000004e-11,1.501159e-05,2.928641e-05,0.033025490000000005,1.000711e-18,6.304867e-09,1.050811e-10,0.0004503476,5.253135e-09,7.15583e-10,6.024896000000001e-09,1.801206e-07,4.252976e-08,3.002317e-10,3.8422299999999995e-09,1.0508110000000001e-09,78.15235,1.810232e-07,3.6617220000000004e-16,1.010657e-06,2.8512809999999998e-08,20.90571,0.0001000711,1.7612370000000002e-07,1.000711e-18,1.000711e-18,5.1536709999999995e-09,18.8,250.8
65.0,7.835606000000001e-14,2.981942e-13,4.173388e-11,1.500949e-05,5.587859e-05,0.033019480000000004,1.000633e-18,5.5248379999999995e-09,6.865783999999999e-11,0.0004001831,1.2607690000000002e-08,7.152879000000001e-10,5.885458000000001e-09,1.8009989999999999e-07,4.2539149999999996e-08,3.001898e-10,3.4920609999999995e-09,8.346776e-10,78.14599,1.32169e-07,3.001898e-16,1.030743e-06,2.5316920000000002e-08,20.91246,5.503830999999999e-05,3.742745e-07,1.000633e-18,1.000633e-18,5.1117e-09,9.5,240.9
70.0,7.610774000000001e-14,2.792876e-13,4.054109e-11,1.5018229999999998e-05,0.00010789270000000001,0.033031979999999996,1.00099e-18,5.044933e-09,5.145236e-11,0.0003303198,3.773534e-08,7.156703e-10,5.75586e-09,1.802052e-07,4.254036e-08,3.002969e-10,3.273378e-09,7.116039999999999e-10,78.20866,1.007767e-07,2.5726180000000003e-16,1.151443e-06,2.312374e-08,20.92116,3.202896e-05,7.197366e-07,1.00099e-18,1.00099e-18,4.324519e-09,4.7,230.7
75.0,7.406157e-14,2.661995e-13,3.962835e-11,1.50097e-05,0.0001898487,0.03302134,1.000784e-18,4.723601e-09,4.162965e-11,0.00027017459999999997,1.120861e-07,7.15531e-10,5.624183e-09,1.8011640000000002e-07,4.253434e-08,3.00194e-10,3.122566e-09,6.335602e-10,78.16011,7.888661e-08,2.271331e-16,1.6106299999999999e-06,2.152076e-08,20.917630000000003,2.5016169999999997e-05,1.120861e-06,1.000784e-18,1.000784e-18,2.831967e-09,2.22,220.4
80.0,7.235229000000001e-14,2.561761e-13,3.892209e-11,1.50112e-05,0.0002962811,0.03281059,1.000653e-18,4.492094e-09,3.5317150000000003e-11,0.0002001305,2.001305e-07,7.153554e-10,5.503167e-09,1.801062e-07,4.2527030000000004e-08,3.00224e-10,3.010689e-09,5.784803e-10,78.15399,6.336810000000001e-08,2.0412979999999999e-16,2.681738e-06,2.021302e-08,20.914289999999998,2.301529e-05,1.130769e-06,1.000653e-18,1.000653e-18,1.33073e-09,1.03,210.1
85.0,7.072036e-14,2.4912439999999997e-13,3.832451e-11,1.5009169999999998e-05,0.00045287649999999996,0.03202078,1.000611e-18,4.302508e-09,3.091974e-11,0.0001330922,1.681197e-07,7.156731e-10,5.3732960000000004e-09,1.80098e-07,4.252901e-08,3.001834e-10,2.921979e-09,5.373296e-10,78.16143,5.197251e-08,1.8511919999999998e-16,7.01154e-06,1.921368e-08,20.01223,5.503363e-05,6.104093000000001e-07,1.000611e-18,1.000611e-18,5.563255e-10,0.456,199.8
90.0,6.946060999999999e-14,2.431747e-13,3.782564e-11,1.400898e-05,0.0006868156,0.03102286,1.0008e-18,4.163741e-09,2.762843e-11,8.506942e-05,4.313987e-08,7.156126e-10,5.254411e-09,1.801552e-07,4.252776e-08,3.002123e-10,2.8421400000000003e-09,5.054084e-10,78.05798,4.336245e-08,1.711127e-16,2.131257e-05,1.832158e-08,19.01716,8.006125000000001e-05,1.5108e-07,1.0008e-18,1.0008e-18,2.2411589999999998e-10,0.198,199.5
95.0,6.791276999999999e-14,2.363874e-13,3.719188e-11,1.296814e-05,0.001051373,0.0269298,9.974484e-19,4.019861e-09,2.493621e-11,5.38596e-05,4.967633e-09,7.131168e-10,5.108165e-09,1.795538e-07,4.2388289999999995e-08,2.992345e-10,2.77305e-09,4.768274e-10,77.71731,3.657093e-08,1.586048e-16,7.101754e-05,1.755666e-08,17.95538,7.980894999999999e-05,2.413877e-08,9.974484e-19,9.974484e-19,8.938471e-11,0.088,208.3
