z,CH4,HCN,COF2,HCl,HNO3,HI,H2O,SF6,CO2,NO,t,OH,H2O2,N2O,ClO,CO,CH3Cl,NH3,N2,HOCl,O2,O3,H2CO,SO2,C2H2,HF,PH3,HBr,NO2,C2H6,p
78.12933,0.000122484,1.370824e-08,1.000523e-18,4.892748e-08,4.201995e-07,3.00157e-10,0.00033016759999999996,1.000523e-18,0.03301676,2.551411e-08,2.551411e-08,2.161273e-11,3.68215e-10,1.607857e-05,4.64249e-10,1.331658e-06,3.691815e-08,2.411022e-12,78.12933,3.0717649999999997e-09,20.910790000000002,0.0002001047,3.431892e-09,3.1918070000000002e-09,3.101775e-11,5.773229e-09,1.000523e-18,0.0,1.390661e-07,6.0122959999999996e-09,5950.0
78.16495,0.0001154574,1.3407380000000001e-08,1.000631e-18,5.223328e-08,4.942889e-07,3.0018920000000003e-10,0.0003452385,1.000631e-18,0.03302021,2.771574e-08,2.771574e-08,3.402264e-11,5.623699000000001e-10,1.3240309999999998e-05,8.156602e-10,1.232739e-06,3.4320970000000004e-08,1.9213059999999997e-12,78.16495,4.292509e-09,20.9136,0.0002401633,3.682106e-09,2.671928e-09,1.891472e-11,7.774727e-09,1.000631e-18,0.0,1.761396e-07,4.572948e-09,5100.0
78.13611999999999,0.000106632,1.300868e-08,1.000506e-18,5.4926330000000004e-08,5.462527e-07,3.0015190000000003e-10,0.0003601543,1.000506e-18,0.03301881,3.071534e-08,3.071534e-08,5.0928510000000005e-11,1.030613e-09,1.146837e-05,1.070521e-09,1.2329539999999999e-06,3.171654e-08,1.720955e-12,78.13611999999999,5.762888999999999e-09,20.91331,0.0002901399,4.032132e-09,2.2810709999999998e-09,1.040415e-11,9.907044e-09,1.000506e-18,0.0,2.1613460000000003e-07,3.4020020000000003e-09,4370.0
78.14856,9.735844e-05,1.2509329999999999e-08,1.000583e-18,5.753148e-08,5.74333e-07,3.001749e-10,0.0003852613,1.000583e-18,0.03302006,3.6022619999999996e-08,3.6022619999999996e-08,7.594777e-11,1.970895e-09,1.0357630000000001e-05,1.5209189999999998e-09,1.307385e-06,2.861847e-08,1.591279e-12,78.14856,7.654501e-09,20.91161,0.0003401819,4.5030330000000004e-09,2.071526e-09,5.753147999999999e-12,1.23048e-08,1.000583e-18,0.0,2.581226e-07,2.601679e-09,3760.0
78.12953,8.803733e-05,1.190472e-08,1.0003810000000001e-18,6.042606000000001e-08,5.841954e-07,3.001142e-10,0.0004001522,1.0003810000000001e-18,0.0330164,4.5113130000000003e-08,4.5113130000000003e-08,1.16071e-10,3.701024e-09,9.629383e-06,2.2407759999999997e-09,1.400725e-06,2.4807899999999997e-08,1.4400869999999999e-12,78.12953,9.927001e-09,20.91007,0.0004001522,5.062387e-09,1.900915e-09,2.2311749999999997e-12,1.500571e-08,1.0003810000000001e-18,0.0,3.061625e-07,1.890355e-09,3220.0
78.15891,7.89331e-05,1.1309819999999999e-08,1.000717e-18,6.514365e-08,5.614516e-07,3.0024869999999997e-10,0.00042030329999999996,1.000717e-18,0.033020629999999995,6.855455e-08,6.855455e-08,2.181179e-10,6.204690999999999e-09,8.964825000000001e-06,3.973022e-09,1.522562e-06,1.911898e-08,1.23084e-12,78.15891,1.310503e-08,20.914189999999998,0.0004803306,5.824330999999999e-09,1.7514509999999999e-09,8.516022999999999e-13,1.821015e-08,1.000717e-18,0.0,3.7430110000000003e-07,1.2207419999999999e-09,2770.0
78.15227,7.051072e-05,1.050797e-08,1.00068e-18,7.51585e-08,4.823112e-07,3.00204e-10,0.0004452612,1.00068e-18,0.03303071,1.28087e-07,1.28087e-07,5.003398999999999e-10,1.0307829999999999e-08,8.012055000000001e-06,8.485104e-09,1.7234850000000001e-06,1.1007480000000001e-08,9.376619e-13,78.15227,1.84092e-08,20.906769999999998,0.0006004078999999999,7.214819000000001e-09,1.541047e-09,4.092036e-13,2.302391e-08,1.00068e-18,0.0,4.813188000000001e-07,5.744399e-10,1907.0
78.14959999999999,6.318946e-05,9.73631e-09,1.000765e-18,9.887867e-08,3.7424779999999997e-07,3.001805e-10,0.00047031540000000004,1.000765e-18,0.033024740000000004,2.4518000000000003e-07,2.4518000000000003e-07,1.1708989999999998e-09,1.3610790000000001e-08,6.702727e-06,1.8514389999999998e-08,1.99664e-06,4.722709e-09,6.355613e-13,78.14959999999999,2.4517999999999998e-08,20.914859999999997,0.0007005841,8.736524e-09,1.341034e-09,2.52269e-13,2.8331370000000003e-08,1.000765e-18,0.0,6.164945e-07,2.141597e-10,1320.0
78.13248,5.595591e-05,9.044491e-09,1.0006070000000001e-18,1.280918e-07,2.5916420000000004e-07,3.00182e-10,0.00048540069999999995,1.0006070000000001e-18,0.033020020000000004,4.531116e-07,4.531116e-07,3.402063e-09,1.3607539999999999e-08,4.960454e-06,3.573088e-08,2.267332e-06,1.7911570000000001e-09,3.683084e-13,78.13248,2.961725e-08,20.91339,0.0008104204,1.010542e-08,1.210663e-09,1.861057e-13,3.201941e-08,1.0006070000000001e-18,0.0,7.213593e-07,8.494512e-11,930.0
78.14635,5.010713e-05,8.463691e-09,1.0005849999999999e-18,1.570716e-07,1.6408140000000002e-07,3.001754e-10,0.0004953077,1.0005849999999999e-18,0.033018780000000005,7.144809e-07,7.144809e-07,8.354649999999999e-09,1.1309149999999999e-08,3.697023e-06,5.0828880000000006e-08,2.488221e-06,7.352507e-10,1.820992e-13,78.14635,3.212049e-08,20.90999,0.0008905049,1.110665e-08,1.160512e-09,1.520868e-13,3.482056e-08,1.0005849999999999e-18,0.0,7.285005e-07,3.421824e-11,652.0
78.14301,4.455273e-05,8.023679e-09,1.00053e-18,1.690731e-07,9.683751e-08,3.0015890000000004e-10,0.0005002648,1.00053e-18,0.03301449,9.34725e-07,9.34725e-07,1.701199e-08,8.517214e-09,2.520019e-06,6.073469000000001e-08,2.7174319999999996e-06,3.0315000000000003e-10,9.264994000000001e-14,78.14301,3.041969e-08,20.90793,0.0008704159,1.130643e-08,1.210656e-09,1.320579e-13,3.721701e-08,1.00053e-18,0.0,6.263405e-07,1.34077e-11,464.0
78.1526,3.918306e-05,7.635893e-09,1.0007159999999999e-18,1.741351e-07,5.334021e-08,3.002255e-10,0.0005103407,1.0007159999999999e-18,0.03302267,1.121041e-06,1.121041e-06,2.851716e-08,6.3749879999999995e-09,1.73708e-06,5.9543310000000005e-08,2.96382e-06,1.320693e-10,2.942467e-14,78.1526,2.4823060000000003e-08,20.915429999999997,0.0007555819,1.030717e-08,1.361264e-09,1.18083e-13,3.952471e-08,1.0007159999999999e-18,0.0,4.0325459999999997e-07,5.39381e-12,333.0
78.15106,3.391632e-05,7.305984e-09,1.00072e-18,1.761534e-07,2.5214409999999998e-08,3.001859e-10,0.0005304241,1.00072e-18,0.03302498,1.190924e-06,1.190924e-06,4.0624049999999996e-08,5.174316e-09,1.158896e-06,4.332829e-08,3.140848e-06,8.695872999999999e-11,8.726088e-15,78.15106,1.640674e-08,20.908769999999997,0.0005904008,7.955605999999999e-09,1.651249e-09,1.08079e-13,4.103195e-08,1.00072e-18,0.0,2.1709470000000002e-07,2.251017e-12,241.0
78.15083,2.875341e-05,7.004144000000001e-09,1.000652e-18,1.791265e-07,1.210692e-08,3.002381e-10,0.0005454254999999999,1.000652e-18,0.03303042,1.170674e-06,1.170674e-06,5.113364e-08,4.442168e-09,7.668987e-07,2.511159e-08,3.309394e-06,6.684426e-11,2.981207e-15,78.15083,9.746092000000001e-09,20.91292,0.0004503571,4.823289e-09,2.101455e-09,9.976882e-14,4.213496e-08,1.000652e-18,0.0,1.1507710000000001e-07,1.0406699999999998e-12,176.0
78.17339,2.386144e-05,6.706887999999999e-09,1.000879e-18,1.801464e-07,7.705411e-09,3.001458e-10,0.0005505127,1.000879e-18,0.033018979999999996,1.101025e-06,1.101025e-06,5.793785e-08,3.8026319999999995e-09,5.325451999999999e-07,1.561406e-08,3.49041e-06,5.605274000000001e-11,1.3010239999999999e-15,78.17339,4.924865e-09,20.91889,0.0003502192,1.6315090000000002e-09,2.7722980000000002e-09,9.348996e-14,4.244456e-08,1.000879e-18,0.0,6.665651e-08,6.574341e-13,129.0
78.13316,1.945324e-05,6.4363790000000006e-09,1.000681e-18,1.801226e-07,5.5557800000000004e-09,3.0020430000000003e-10,0.0005503745,1.000681e-18,0.033022470000000005,1.0307010000000002e-06,1.0307010000000002e-06,6.756597000000001e-08,3.482369e-09,3.217389e-07,1.0407080000000001e-08,3.647282e-06,4.943363e-11,7.132853e-16,78.13316,2.531723e-09,20.91423,0.0002801906,5.103471999999999e-10,3.5624240000000002e-09,8.83401e-14,4.2548949999999997e-08,1.000681e-18,7.144861e-10,4.435017e-08,4.743227e-13,95.1
78.11882999999999,1.575372e-05,6.214129e-09,1.000672e-18,1.801354e-07,4.453206e-09,3.002016e-10,0.0005353522,1.000672e-18,0.03302361,1.01078e-06,1.01078e-06,9.537427999999999e-08,3.622201e-09,2.031667e-07,7.696365e-09,3.9254350000000005e-06,4.562948e-11,4.803369e-16,78.11882999999999,1.501008e-09,20.91592,0.0001801354,2.001344e-10,4.593271e-09,8.432789999999999e-14,4.253216e-08,1.000672e-18,7.154875999999999e-10,3.39261e-08,3.79259e-13,51.5
78.16041,1.500826e-05,6.024185e-09,1.0007250000000001e-18,1.800991e-07,3.84342e-09,3.0016520000000003e-10,0.0005003623000000001,1.0007250000000001e-18,0.03301817,1.010774e-06,1.010774e-06,1.7618390000000002e-07,5.254196e-09,1.397726e-07,6.304774000000001e-09,4.6760519999999995e-06,4.3236839999999996e-11,3.662015e-16,78.16041,1.050709e-09,20.92021,0.000130089,1.050709e-10,5.153706e-09,8.105765e-14,4.25321e-08,1.0007250000000001e-18,7.155677e-10,2.8515690000000002e-08,3.2822410000000003e-13,27.2
78.15434,1.501079e-05,5.883637e-09,1.000719e-18,1.801342e-07,3.4915459999999996e-09,3.002634e-10,0.00044025910000000006,1.000719e-18,0.033031359999999996,1.030769e-06,1.030769e-06,3.7419639999999997e-07,1.2609159999999999e-08,1.020753e-07,5.523511e-09,6.4083219999999995e-06,4.173638e-11,3.002634e-16,78.15434,8.344890000000001e-10,20.91589,8.006229e-05,6.863845e-11,5.113302e-09,7.834513999999999e-14,4.2523400000000005e-08,1.000719e-18,7.154807e-10,2.532802e-08,2.98117e-13,13.9
78.15914000000001,1.501608e-05,5.757439e-09,1.000922e-18,1.80184e-07,3.2728860000000002e-09,3.002767e-10,0.0003703458,1.000922e-18,0.03302999,1.151038e-06,1.151038e-06,7.195675e-07,3.7735720000000005e-08,7.779958000000001e-08,5.042815e-09,1.1780049999999999e-05,4.0535779999999997e-11,2.5721949999999996e-16,78.15914000000001,7.114774e-10,20.917350000000003,4.00369e-05,5.146188e-11,4.324147e-09,7.609168000000001e-14,4.254033e-08,1.000922e-18,7.155224e-10,2.311964e-08,2.792425e-13,6.7
78.16705,1.501789e-05,5.625392e-09,1.000892e-18,1.8014249999999999e-07,3.1227109999999998e-09,3.002676e-10,0.0002953037,1.000892e-18,0.03303214,1.6109940000000002e-06,1.6109940000000002e-06,1.120927e-06,1.1209270000000001e-07,6.262569e-08,4.723777e-09,2.937695e-05,3.963857e-11,2.271637e-16,78.16705,6.335673e-10,20.92036,1.901605e-05,4.163314e-11,2.8321e-09,7.406962e-14,4.253565e-08,1.000892e-18,7.156062e-10,2.151602e-08,2.662427e-13,3.0
78.16351999999999,1.501172e-05,5.504699e-09,1.000782e-18,1.801447e-07,3.012761e-09,3.002745e-10,0.0002101321,1.000782e-18,0.03283188,2.682239e-06,2.682239e-06,1.1307869999999999e-06,2.0015629999999999e-07,5.17017e-08,4.4931000000000005e-09,6.820779e-05,3.892151e-11,2.041226e-16,78.16351999999999,5.785142e-10,20.91305,2.001563e-05,3.533584e-11,1.331104e-09,7.235434e-14,4.252721e-08,1.000782e-18,7.155306999999999e-10,2.021194e-08,2.562049e-13,1.2
78.15550999999999,1.501542e-05,5.373191e-09,1.000859e-18,1.801749e-07,2.92269e-09,3.002576e-10,0.00013310860000000002,1.000859e-18,0.03202544,7.016696e-06,7.016696e-06,6.105899e-07,1.681666e-07,4.355541e-08,4.3036410000000006e-09,0.00014664329999999998,3.833487e-11,1.851614e-16,78.15550999999999,5.373191e-10,20.01717,5.703927e-05,3.092638e-11,5.566545e-10,7.077755e-14,4.2537759999999996e-08,1.000859e-18,7.154079e-10,1.921832e-08,2.492225e-13,0.448
78.05459,1.401621e-05,5.253648e-09,1.000721e-18,1.801687e-07,2.842137e-09,3.001886e-10,8.505575e-05,1.000721e-18,0.03101903,2.130908e-05,2.130908e-05,1.511361e-07,4.313214e-08,3.7297839999999996e-08,4.1631890000000005e-09,0.00028504720000000004,3.782571e-11,1.7113940000000002e-16,78.05459,5.053615e-10,19.017039999999998,7.505409e-05,2.7615679999999998e-11,2.242038e-10,6.945595e-14,4.253482e-08,1.000721e-18,7.155351e-10,1.830859e-08,2.432347e-13,0.164
78.57869,1.311498e-05,5.165784e-09,1.008936e-18,1.816164e-07,2.80485e-09,3.0268080000000003e-10,5.4476990000000006e-05,1.008936e-18,0.02724246,7.182862e-05,7.182862e-05,2.441538e-08,5.022842000000001e-09,3.26584e-08,4.065921e-09,0.0005213432,3.763359e-11,1.604133e-16,78.57869,4.824311e-10,18.161640000000002,7.063744e-05,2.522142e-11,9.041115e-11,6.869183000000001e-14,4.2882760000000004e-08,1.008936e-18,7.214626999999999e-10,1.775664e-08,2.391111e-13,0.062
