,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t,z
10,5.9436980000000005e-08,0.00016165760000000002,1.095031e-05,0.03552226,1.050721e-12,4.223238000000001e-09,0.00297768,0.0,1.600675e-08,7.485011e-09,4.043029e-11,3.002061e-10,1.5307119999999998e-08,4.4129869999999996e-10,78.15746,3.1653079999999995e-05,3.772717e-09,3.0020609999999996e-08,2.3215090000000003e-09,20.91478,2.101018e-05,4.563514e-12,6.564888e-09,28290.0,217.2,9000.0
11,5.8849e-08,0.0001580055,9.968982999999999e-06,0.03552024,1.210838e-12,3.632639e-09,0.002001734,0.0,1.6011390000000002e-08,5.683982e-09,6.574469e-11,3.002601e-10,1.741285e-08,4.343292e-10,78.15941,3.098099e-05,2.0315e-09,3.002601e-08,2.381245e-09,20.91031,3.002601e-05,4.683115e-12,6.084577e-09,24180.0,217.2,10000.0
12,5.794644e-08,0.0001543691,8.970526e-06,0.035531,1.87158e-12,3.432681e-09,0.0010007870000000002,0.0,1.6017239999999998e-08,4.59335e-09,1.201003e-10,3.001782e-10,2.021016e-08,4.654286e-10,78.1566,2.991626e-05,1.090884e-09,3.001782e-08,2.621663e-09,20.92107,3.5023209999999994e-05,4.8037219999999996e-12,5.794644e-09,20670.0,217.2,11000.0
13,5.663231e-08,0.0001507082,7.819843e-06,0.03552467,3.1822769999999995e-12,3.3928439999999997e-09,0.0006004553,0.0,1.601158e-08,4.362471e-09,1.961329e-10,3.002276e-10,2.411331e-08,5.012851e-10,78.14748999999999,2.937748e-05,6.30512e-10,3.002276e-08,3.1517109999999996e-09,20.92084,4.0024689999999996e-05,4.943227999999999e-12,5.603797e-09,17660.0,217.2,12000.0
14,5.483383e-08,0.0001472033,6.3790749999999996e-06,0.035529780000000004,5.61446e-12,3.503328e-09,0.0004452642,0.0,1.591194e-08,6.514124e-09,3.122013e-10,3.0028519999999997e-10,2.762545e-08,5.223216e-10,78.14963,2.861845e-05,3.122013e-10,2.992922e-08,4.452642e-09,20.91272,6.504194e-05,5.193425e-12,5.5946000000000005e-09,15100.0,217.2,13000.0
15,5.284625999999999e-08,0.00014350949999999998,5.0291060000000004e-06,0.03551733,9.997816e-12,3.6214209999999996e-09,0.00045041279999999997,0.0,1.571218e-08,1.010699e-08,4.6225960000000004e-10,3.001203e-10,3.33338e-08,5.602865e-10,78.16601,2.8014330000000003e-05,1.110817e-10,2.9524219999999998e-08,7.484424e-09,20.91551,9.005932e-05,5.653969e-12,5.644678e-09,12910.0,217.2,14000.0
16,5.0352910000000005e-08,0.0001390143,3.945037e-06,0.03553524,1.781384e-11,3.624214e-09,0.0004554057,0.0,1.55137e-08,1.631304e-08,7.096172e-10,3.001599e-10,4.5241499999999995e-08,6.865071e-10,78.16665,2.726996e-05,4.472492e-11,2.833031e-08,1.71151e-08,20.91604,0.00012009119999999999,6.756317e-12,5.755784e-09,11030.0,217.2,15000.0
17,4.772397e-08,0.000134293,3.0714570000000004e-06,0.03551551,3.162466e-11,3.583261e-09,0.0004604332,0.0,1.521142e-08,2.371929e-08,1.050879e-09,3.002329e-10,7.37581e-08,8.777405000000001e-10,78.16583,2.612927e-05,2.1115869999999998e-11,2.682055e-08,3.193225e-08,20.9161,0.0001501165,8.257356e-12,5.755415e-09,9431.0,216.6,16000.0
18,4.4930839999999996e-08,0.00012909289999999999,2.490812e-06,0.03552645,5.655216e-11,3.502681e-09,0.00046522290000000003,0.0,1.491156e-08,3.132575e-08,1.6913830000000001e-09,3.002298e-10,1.3109149999999998e-07,1.2009930000000001e-09,78.16632999999999,2.4227120000000002e-05,1.100694e-11,2.5219e-08,5.192583e-08,20.914669999999997,0.0001901603,1.040737e-11,5.373935e-09,8058.0,216.0,17000.0
19,4.213422e-08,0.0001231184,1.9675599999999998e-06,0.03553103,1.041039e-10,3.423027e-09,0.0004706068,0.0,1.451146e-08,3.8534450000000004e-08,2.5721319999999997e-09,3.0025490000000003e-10,2.111897e-07,1.631351e-09,78.17519,2.1758539999999998e-05,6.706903999999999e-12,2.4018670000000002e-08,7.718125e-08,20.91586,0.00024519959999999997,1.301191e-11,4.783855e-09,6882.0,215.4,18000.0
20,3.952137e-08,0.0001161562,1.549759e-06,0.03551825,2.040936e-10,3.391801e-09,0.00047527619999999997,0.0,1.410937e-08,4.4221130000000004e-08,4.022306e-09,3.0015849999999996e-10,3.171705e-07,2.2610320000000002e-09,78.14419000000001,1.844062e-05,3.97233e-12,2.4412489999999998e-08,1.0606e-07,20.90912,0.0003101537,1.6406240000000002e-11,3.97233e-09,5875.0,214.8,19000.0
21,3.6935799999999996e-08,0.0001085306,1.332449e-06,0.03553198,4.644403e-10,3.4334609999999998e-09,0.0004804839,0.0,1.371379e-08,4.894495e-08,5.7757159999999995e-09,3.002877e-10,4.2037919999999997e-07,3.073068e-09,78.15384,1.622651e-05,2.4124469999999998e-12,2.5522389999999997e-08,1.391433e-07,20.92164,0.0003703607,2.162355e-11,3.192806e-09,5014.0,214.2,20000.0
22,3.431855e-08,0.0001014318,1.232903e-06,0.03551836,8.157293e-10,3.682159e-09,0.0004852314,0.0,1.340471e-08,5.2225979999999994e-08,7.771149e-09,3.0015799999999996e-10,4.942644e-07,4.292405e-09,78.12522,1.362537e-05,1.921067e-12,2.771273e-08,1.761093e-07,20.91384,0.00040021070000000004,3.4015149999999994e-11,2.671289e-09,4277.0,213.6,21000.0
23,3.1723239999999996e-08,9.571806000000001e-05,1.232965e-06,0.03552938,1.070881e-09,4.032738e-09,0.0004903635,0.0,1.300701e-08,5.49391e-08,9.910487999999999e-09,3.0021760000000003e-10,5.464074e-07,5.76405e-09,78.15495999999999,1.230546e-05,1.7216349999999999e-12,3.072332e-08,2.1619220000000002e-07,20.917659999999998,0.0004202886,5.0939429999999995e-11,2.2812669999999998e-09,3647.0,213.0,22000.0
24,2.861862e-08,9.016658e-05,1.308307e-06,0.03553274,1.521484e-09,4.5040840000000005e-09,0.0004954021000000001,0.0,1.250768e-08,5.7548519999999994e-08,1.230959e-08,3.002408e-10,5.744476e-07,7.656471e-09,78.15883,1.1224839999999999e-05,1.591286e-12,3.603267e-08,2.581713e-07,20.91216,0.0004503141,7.596102000000001e-11,2.071407e-09,3109.0,212.4,23000.0
25,2.481645e-08,8.484841e-05,1.400893e-06,0.03552461,2.242091e-09,5.063748e-09,0.0005004135,0.0,1.1911450000000001e-08,6.044042e-08,1.501351e-08,3.002702e-10,5.844229e-07,9.926579e-09,78.15857000000001,1.04377e-05,1.440635e-12,4.512884e-08,3.062314e-07,20.91956,0.00046034069999999997,1.161339e-10,1.900975e-09,2649.0,211.8,24000.0
